,shhh.. Just listEn :)_A Rocket to the Moon
1205,sinks
1206,like
1207,stone
1208,fade
1209,black
1210,fade
1211,int
1212,barbara
1213,adam's
1214,living
1215,room
1216,day
1217,quiet
1218,still
1219,expectant
1220,fire
1221,laid
1222,hearth
1223,suddenly
1224,apparent
1225,reason
1226,ignites
1227,burns
1228,furious
1229,cheerfulness
1230,barbara
1231,adam
1232,enter
1233,dazed
1234,wet
1235,bedraggled
1236,barbara
1237,something
1238,like
1239,always
1240,happens
1241,try
1242,go
1243,vacation
1244,always
1245,adam
1246,leads
1247,toward
1248,fire
1249,adam
1250,feel
1251,better
1252,dry
1253,holds
1254,hands
1255,warmed
1256,barbara
1257,comes
1258,beside
1259,time
1260,holding
1261,injured
1262,arm
1263,hand
1264,barbara
1265,fire
1266,burning
1267,left
1268,house
1269,adam
1270,how's
1271,arm
1272,barbara
1273,i'm
1274,sure
1275,feels
1276,frozen
1277,holds
1278,arms
1279,warm
1280,one
1281,hand
1282,catches
1283,fire
1284,barbara's
1285,left
1286,arm
1287,stare
1288,dumbfoundedly
1289,adam
1290,regains
1291,senses
1292,snatches
1293,fire
1294,two
1295,fingers
1296,burning
1297,like
1298,candles
1299,barbara
1300,indus
1301,triously
1302,blows
1303,barbara
1304,oh
1305,adam
1306,cut
1307,int
1308,living
1309,room
1310,minutes
1311,later
1312,day
1313,sitting
1314,couch
1315,together
1316,barbara
1317,looking
1318,away
1319,slightly
1320,one
1321,doctor
1322,drawing
1323,blood
1324,adam
1325,looks
1326,fingers
1327,frowns
1328,looks
1329,skin
1330,pale
1331,looks
1332,barbara
1333,adam
1334,better
1335,sit
1336,hon
1337,barbara
1338,sitting
1339,adam
1340,i'll
1341,tell
1342,barbara
1343,think
1344,survived
1345,crash
1346,barbara
1347,pause
1348,oh
1349,adam
1350,we're
1351,home
1352,house
1353,nonsense
1354,i'll
1355,make
1356,coffee
1357,get
1358,firewood
1359,adam
1360,gets
1361,little
1362,absently
1363,follows
1364,wanders
1365,front
1366,door
1367,peers
1368,adam
1369,let's
1370,take
1371,things
1372,extra
1373,slow
1374,remember
1375,got
1376,back
1377,barbara
1378,tests
1379,hand
1380,clenches
1381,unclenches
1382,fist
1383,barbara
1384,i'm
1385,fine
1386,arm
1387,works
1388,fine
1389,adam
1390,exploring
1391,opens
1392,door
1393,steps
1394,front
1395,porch
1396,ext
1397,front
1398,porch
1399,twilight
1400,adam's
1401,face
1402,painted
1403,color
1404,sunset
1405,stands
1406,atop
1407,steps
1408,leading
1409,front
1410,yard
1411,barbara
1412,stands
1413,inside
1414,open
1415,threshold
1416,looking
1417,worriedly
1418,barbara
1419,quiet
1420,sarcasm
1421,end
1422,perfect
1423,day
1424,adam
1425,starts
1426,step
1427,yard
1428,adam
1429,honey
1430,i'm
1431,gonna
1432,go
1433,retrace
1434,steps
1435,steps
1436,last
1437,step
1438,yard
1439,promptly
1440,disappears
1441,barbara
1442,adam
1443,ext
1444,great
1445,void
1446,adam
1447,nowhere
1448,there's
1449,ground
1450,sky
1451,nothing
1452,stand
1453,hold
1454,onto
1455,give
1456,boundaries
1457,distance
1458,vast
1459,nothing
1460,white
1461,colored
1462,either
1463,noise
1464,clock
1465,ticking
1466,adam
1467,looks
1468,surprised
1469,like
1470,see
1471,turns
1472,around
1473,head
1474,back
1475,steps
1476,steps
1477,adam
1478,barbara
1479,voice
1480,echoes
1481,strangely
1482,runs
1483,little
1484,distance
1485,calls
1486,adam
1487,continuing
1488,quietly
1489,goes
1490,even
1491,farther
1492,away
1493,foreground
1494,enormous
1495,geared
1496,wheel
1497,size
1498,man
1499,rolls
1500,tearing
1501,unseamed
1502,ground
1503,something
1504,pours
1505,tear
1506,ooze
1507,stuffing
1508,adam
1509,runs
1510,forward
1511,stares
1512,wheel
1513,sight
1514,two
1515,smaller
1516,gears
1517,looking
1518,much
1519,like
1520,components
1521,giant
1522,watch
1523,spin
1524,along
1525,behind
1526,one
1527,veers
1528,suddenly
1529,toward
1530,though
1531,adam
1532,jumps
1533,way
1534,gear
1535,snags
1536,trouser
1537,leg
1538,shreds
1539,loud
1540,ticking
1541,perfectly
1542,enormous
1543,gear
1544,comes
1545,barreling
1546,toward
1547,adam
1548,leaps
1549,way
1550,gear
1551,turns
1552,fishtailing
1553,kicking
1554,ooze
1555,stuffing
1556,adam
1557,flings
1558,suddenly
1559,right
1560,trips
1561,path
1562,gear
1563,he's
1564,crushed
1565,he's
1566,suddenly
1567,jerked
1568,safety
1569,ext
1570,front
1571,porch
1572,night
1573,barbara
1574,who's
1575,grabbed
1576,quite
1577,evidently
1578,saved
1579,life
1580,life
1581,perhaps
1582,existence
1583,he's
1584,shaken
1585,breathless
1586,barbara
1587,stares
1588,wondering
1589,he's
1590,adam
1591,weakly
1592,saved
1593,uh
1594,life
1595,whatever
1596,barbara
1597,two
1598,hours
1599,adam
1600,barbara
1601,that's
1602,long
1603,gone
1604,adam
1605,pondering
1606,hmmm
1607,int
1608,living
1609,room
1610,night
1611,barbara
1612,leads
1613,adam
1614,house
1615,adam
1616,anything
1617,happen
1618,away
1619,barbara
1620,yes
1621,yes
1622,made
1623,couple
1624,small
1625,discoveries
1626,barbara
1627,stands
1628,mirror
1629,hearth
1630,mantle
1631,mantle
1632,barbara's
1633,prize
1634,collection
1635,porcelain
1636,horses
1637,adam
1638,comes
1639,stand
1640,beside
1641,look
1642,mirror
1643,reflection
1644,barbara
1645,picks
1646,one
1647,horses
1648,trots
1649,air
1650,horse
1651,imaged
1652,mirror
1653,barbara
1654,continuing
1655,there's
1656,there's
1657,picks
1658,ancient
1659,leatherbound
1660,book
1661,yellow
1662,worn
1663,size
1664,boy
1665,scout
1666,manual
1667,closeup
1668,title
1669,handbook
1670,recently
1671,deceased
1672,adam
1673,reading
1674,handbook
1675,recently
1676,diseased
1677,barbara
1678,deceased
1679,know
1680,came
1681,look
1682,publisher
1683,adam
1684,reads
1685,handbook
1686,recently
1687,deceased
1688,press
1689,barbara
1690,finally
1691,admit
1692,ting
1693,think
1694,survived
1695,crash
1696,int
1697,bedroom
1698,night
1699,adam
1700,already
1701,bed
1702,reading
1703,handbook
1704,barbara
1705,getting
1706,ready
1707,bed
1708,going
1709,ritual
1710,sorts
1711,practiced
1712,every
1713,night
1714,married
1715,lives
1716,barbara
1717,like
1718,situations
1719,like
1720,hate
1721,i'm
1722,control
1723,tell
1724,basics
1725,adam
1726,book
1727,arranged
1728,way
1729,want
1730,know
1731,barbara
1732,thousand
1733,things
1734,disappear
1735,walked
1736,front
1737,porch
1738,punishment
1739,halfway
1740,heaven
1741,halfway
1742,hell
1743,long
1744,going
1745,last
1746,adam
1747,see
1748,anything
1749,rewards
1750,punishments
1751,heaven
1752,hell
1753,frustrated
1754,book
1755,reads
1756,like
1757,stereo
1758,instructions
1759,listen
1760,'geographical
1761,temporal
1762,perimeters
1763,functional
1764,perimeters
1765,vary
1766,manifestation
1767,manifestation
1768,going
1769,take
1770,time
1771,barbara
1772,paces
1773,trips
1774,wallpaper
1775,rolls
1776,kicks
1777,barbara
1778,knew
1779,i'd
1780,never
1781,finish
1782,guest
1783,room
1784,adam
1785,can't
1786,stay
1787,forever
1788,look
1789,question
1790,hangs
1791,air
1792,can't
1793,adam
1794,stands
1795,walks
1796,window
1797,adam
1798,thoughtfully
1799,maybe
1800,set
1801,normal
1802,routine
1803,looks
1804,like
1805,he's
1806,nuts
1807,adam
1808,continuing
1809,mean
1810,let's
1811,try
1812,nail
1813,something
1814,lives
1815,regular
1816,schedule
1817,keep
1818,track
1819,time
1820,go
1821,projects
1822,attic
1823,shakes
1824,head
1825,exasperated
1826,flops
1827,bed
1828,barbara
1829,oh
1830,god
1831,maybe
1832,bad
1833,dream
1834,adam
1835,tight
1836,somber
1837,look
1838,comes
1839,across
1840,face
1841,adam
1842,i'm
1843,afraid
1844,honey
1845,barbara
1846,looks
1847,questioningly
1848,barbara
1849,what's
1850,wrong
1851,adam
1852,stands
1853,joins
1854,window
1855,pov
1856,window
1857,distance
1858,see
