,Song Name,Artist,Words count,Year,Bin
541,God's Plan,Drake,229,2018,2010s
542,I've Just Seen a Face,The Beatles,123,1965,60s
543,This Years Love,David Gray,144,1999,90s
544,Josie,blink-182,252,1998,90s
545,Jealous Guy,John Lennon,129,1971,70s
546,Into You,Ariana Grande,287,2016,2010s
547,Lean on Me,Bill Withers,188,1972,70s
548,What's Love Got to Do With It,Tina Turner,153,1984,80s
549,I Really Like You,Carly Rae Jepsen,374,2015,2010s
550,You Got Me,The Roots,509,1999,90s
552,You're Still the One,Shania Twain,204,1998,90s
553,Kiss Me,Ed Sheeran,198,2011,2010s
554,Addicted to You,Avicii,128,2013,2010s
555,You Are the Sunshine of My Life,Stevie Wonder,101,1972,70s
556,Mint Car,The Cure,122,1996,90s
557,I Just Can't Stop Loving You,Michael Jackson,289,1987,80s
558,Slow It Down,The Lumineers,132,2012,2010s
559,I Should Have Known Better,The Beatles,123,1964,60s
560,Thirty-Three,The Smashing Pumpkins,134,1995,90s
561,Talking to the Moon,Bruno Mars,139,2010,2010s
562,Love of My Life,Queen,103,1975,70s
563,Tenerife Sea,Ed Sheeran,152,2014,2010s
564,Right Here Waiting,Richard Marx,131,1989,80s
565,A Case of You,Joni Mitchell,185,1971,70s
566,She's Always a Woman,Billy Joel,154,1977,70s
567,Just The Way You Are,Billy Joel,139,1977,70s
568,All My Life,K-Ci & JoJo,194,1998,90s
569,I Believe I Can Fly,R. Kelly,242,1996,90s
570,Paper Bag,Fiona Apple,216,1999,90s
571,All I Want Is You,U2,98,1988,80s
572,The Warmth,Incubus,113,1999,90s
573,Stay,Rihanna,182,2013,2010s
574,Small Bump,Ed Sheeran,229,2012,2010s
575,Mess Is Mine,Vance Joy,149,2014,2010s
576,XO,Beyoncé,197,2013,2010s
577,Without You,Mariah Carey,153,1993,90s
578,My Sweet Prince,Placebo,133,1998,90s
579,Last Night I Dreamt That Somebody Loved Me,The Smiths,48,1987,80s
580,I Need You,The Beatles,126,1965,60s
581,Stripped,Depeche Mode,129,1986,80s
582,Your Love,Nicki Minaj,428,2010,2010s
583,It's Only Love,The Beatles,62,1965,60s
584,Mine,Taylor Swift,251,2010,2010s
585,This Must Be the Place (Naive Melody),Talking Heads,142,1983,80s
586,When You're Gone,The Cranberries,108,1996,90s
587,Love Never Felt So Good,Michael Jackson,257,2014,2010s
588,Unconditionally,Katy Perry,132,2013,2010s
589,Love Is a Laserquest,Arctic Monkeys,123,2011,2010s
590,Firestone,Kygo,129,2014,2010s
591,Nothin' on You (feat. Bruno Mars),B.o.B,441,2010,2010s
592,It Will Rain,Bruno Mars,198,2011,2010s
593,All Out of Love,Air Supply,214,1980,80s
594,Neon,John Mayer,152,1999,90s
595,I Belong to You,Lenny Kravitz,154,1998,90s
596,When You Say Nothing at All,Ronan Keating,196,1999,90s
597,Maybe I'm Amazed,Paul McCartney,142,1970,70s
598,Lost In The World,Kanye West,294,2010,2010s
599,For You Blue,The Beatles,97,1970,70s
600,The Morning,The Weeknd,323,2011,2010s
601,Baby Can I Hold You,Tracy Chapman,101,1988,80s
602,Perfect,Ed Sheeran,188,2017,2010s
603,Ladies and Gentlemen We Are Floating in Space,Spiritualized,105,1997,90s
604,Home,Phillip Phillips,103,2012,2010s
605,"Perhaps, Perhaps, Perhaps",Cake,93,1996,90s
606,You'll Be In My Heart,Phil Collins,158,1999,90s
607,After Hours,The Velvet Underground,118,1969,60s
608,Next to Me,Emeli Sandé,215,2012,2010s
609,Stop Me If You Think You've Heard This One Before,The Smiths,171,1987,80s
610,Passionfruit,Drake,153,2017,2010s
611,That's the Way Love Goes,Janet Jackson,360,1993,90s
612,I'll Be There,The Jackson 5,151,1970,70s
613,What's My Name?,Rihanna,478,2010,2010s
614,The Writer,Ellie Goulding,211,2010,2010s
615,Shine,Benjamin Francis Leftwich,172,2011,2010s
616,No Ordinary Love,Sade,183,1992,90s
617,I Knew You Were Trouble,Taylor Swift,278,2012,2010s
618,Hey Now,London Grammar,61,2013,2010s
619,Across the Sea,Weezer,220,1996,90s
620,I'll Be Back,The Beatles,114,1964,60s
621,Crazy Love,Van Morrison,183,1970,70s
622,Often,The Weeknd,378,2014,2010s
623,Sacrifice,Elton John,106,1989,80s
624,She's the One,Robbie Williams,133,1999,90s
625,"New Person, Same Old Mistakes",Tame Impala,257,2015,2010s
626,Yes I'm Changing,Tame Impala,144,2015,2010s
627,Hounds of Love,Kate Bush,167,1986,80s
628,Mountain At My Gates,Foals,214,2015,2010s
629,Please Forgive Me,David Gray,135,1998,90s
630,Soul Love,David Bowie,107,1972,70s
631,I'm Happy Just to Dance with You,The Beatles,133,1964,60s
632,Cigarette Daydreams,Cage the Elephant,149,2013,2010s
633,Body Electric,Lana Del Rey,228,2012,2010s
634,Songbird,Fleetwood Mac,76,1977,70s
635,Higher Love,James Vincent McMorrow,154,2011,2010s
636,Renegades,X Ambassadors,190,2015,2010s
637,Dead Sea,The Lumineers,233,2012,2010s
638,Stars,Simply Red,179,1991,90s
639,I'll Make Love to You,Boyz II Men,255,1994,90s
640,Cupid De Locke,The Smashing Pumpkins,89,1995,90s
641,Amazed,Lonestar,173,1999,90s
642,Falling for You,Weezer,215,1996,90s
643,Champagne From a Paper Cup,Death Cab for Cutie,56,1997,90s
644,If You Leave Me Now,Chicago,111,1976,70s
645,Only Love Can Break Your Heart,Neil Young,109,1970,70s
646,Futile Devices,Sufjan Stevens,83,2010,2010s
647,Everything You Want,Vertical Horizon,211,1999,90s
648,Ex-Factor,Lauryn Hill,411,1998,90s
649,Love,The Smashing Pumpkins,156,1995,90s
650,Violently Happy,Björk,109,1993,90s
651,Into My Arms,Nick Cave & The Bad Seeds,129,1997,90s
652,"You're the First, the Last, My Everything",Barry White,200,1974,70s
653,Not Like the Movies,Katy Perry,151,2010,2010s
654,Hungry Eyes,Eric Carmen,143,1987,80s
655,This Love (Will Be Your Downfall),Ellie Goulding,117,2010,2010s
656,I Have Nothing,Whitney Houston,194,1992,90s
657,SING,My Chemical Romance,223,2010,2010s
658,Foolish Games,Jewel,178,1997,90s
659,Sail Away,David Gray,136,1998,90s
660,My Love Is Your Love,Whitney Houston,355,1999,90s
661,Mean,Taylor Swift,250,2010,2010s
662,Lay Me Down,Sam Smith,141,2014,2010s
663,I Hope That I Don't Fall in Love With You,Tom Waits,168,1973,70s
664,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,421,2015,2010s
665,Love Is All,The Tallest Man on Earth,156,2010,2010s
666,Walk Away,Ben Harper,130,1994,90s
667,P.S. I Love You,The Beatles,113,1962,60s
668,Come to Me,Björk,76,1993,90s
669,Back to December,Taylor Swift,279,2010,2010s
670,Do You Want to Know a Secret,The Beatles,114,1963,60s
671,Pitseleh,Elliott Smith,84,1998,90s
672,Luna,The Smashing Pumpkins,101,1993,90s
673,Stand by Me,John Lennon,63,1975,70s
674,The Lady in Red,Chris de Burgh,155,1986,80s
675,One Thing,One Direction,214,2011,2010s
676,2 Become 1,Spice Girls,219,1996,90s
677,Till There Was You,The Beatles,66,1963,60s
678,Please Forgive Me,Bryan Adams,294,1993,90s
679,Half of My Heart,John Mayer,243,2010,2010s
680,Mistletoe,Justin Bieber,202,2011,2010s
681,Every Night,Imagine Dragons,221,2012,2010s
682,Secret Smile,Semisonic,83,1988,80s
683,End of the Road,Boyz II Men,458,1992,90s
684,Turn,Travis,124,1999,90s
685,Song for Zula,Phosphorescent,180,2013,2010s
686,A Letter To Elise,The Cure,190,1992,90s
687,My Cherie Amour,Stevie Wonder,127,1969,60s
688,Gold Soundz,Pavement,125,1994,90s
689,Call Out My Name,The Weeknd,245,2018,2010s
690,Apartment,Young the Giant,103,2012,2010s
691,Baby It's You,The Beatles,203,1963,60s
692,Back to You,John Mayer,99,1999,90s
693,The Fragile,Nine Inch Nails,136,1999,90s
694,Criminal,Britney Spears,211,2011,2010s
695,Like Someone in Love,Björk,83,1993,90s
696,Your Love Is King,Sade,184,1984,80s
697,Little Things,One Direction,207,2012,2010s
698,I'm Your Man,Leonard Cohen,167,1988,80s
699,Cupid,Sam Cooke,155,1961,60s
700,Red,Taylor Swift,203,2012,2010s
701,Oblivion,Bastille,85,2014,2010s
702,The Power of Love,Frankie Goes to Hollywood,167,1984,80s
703,Forever,Ben Harper,99,1994,90s
704,I Just Don't Think I'll Ever Get Over You,Colin Hay,125,1998,90s
705,See You Soon,Coldplay,99,1999,90s
706,Adore You,Miley Cyrus,168,2013,2010s
707,One More Night,Phil Collins,208,1985,80s
708,Killing Me Softly With His Song,Roberta Flack,279,1973,70s
709,Anna (Go to Him),The Beatles,134,1963,60s
710,Energy,Drake,351,2015,2010s
711,The Shrine / An Argument,Fleet Foxes,169,2011,2010s
712,It Won't Be Long,The Beatles,131,1963,60s
713,The Lady in My Life,Michael Jackson,362,1982,80s
714,Show Me the Meaning of Being Lonely,Backstreet Boys,176,1999,90s
715,Big Girls Cry,Sia,187,2014,2010s
716,Falling,Florence + the Machine,115,2011,2010s
717,A Taste of Honey,The Beatles,67,1963,60s
718,Atlas Hands,Benjamin Francis Leftwich,103,2011,2010s
719,"Lights Out, Words Gone",Bombay Bicycle Club,170,2012,2010s
720,In the Name of Love,Martin Garrix,194,2016,2010s
721,Bel Air,Lana Del Rey,167,2012,2010s
722,Love Is All Around,Wet Wet Wet,155,1994,90s
723,Live While We're Young,One Direction,276,2012,2010s
724,Hungover,Ke$ha,183,2010,2010s
725,Breathe,Faith Hill,148,1999,90s
726,Wings,Birdy,132,2013,2010s
727,The Longest Time,Billy Joel,188,1983,80s
728,Shadowboxer,Fiona Apple,172,1996,90s
729,Like I Can,Sam Smith,155,2014,2010s
730,Kiss You,One Direction,236,2012,2010s
731,Wish You Were Here,Avril Lavigne,218,2011,2010s
732,Why,Annie Lennox,155,1992,90s
733,Same Old Love,Selena Gomez,261,2015,2010s
734,Sweetest Kill,Broken Social Scene,136,1991,90s
735,The Heart Wants What It Wants,Selena Gomez,241,2014,2010s
736,You Really Got a Hold on Me,The Beatles,138,1963,60s
737,Purple Rain,Prince & The Revolution,159,1984,80s
738,If Not for You,Bob Dylan,84,1970,70s
739,King of Anything,Sara Bareilles,236,2010,2010s
740,Parachute,Cheryl Cole,257,2010,2010s
741,Born to Make You Happy,Britney Spears,271,1999,90s
742,You Were Meant For Me,Jewel,228,1996,90s
743,At My Most Beautiful,R.E.M.,96,1998,90s
744,Ain't Nobody (Loves Me Better),Felix Jaehn,229,2015,2010s
745,Coffee,Sylvan Esso,172,2014,2010s
746,Sorry Seems to Be the Hardest Word,Elton John,95,1976,70s
747,Wildest Moments,Jessie Ware,141,2012,2010s
748,I Knew I Loved You,Savage Garden,169,1999,90s
749,Overgrown,James Blake,130,2013,2010s
750,Love,John Lennon,39,1970,70s
751,Home Again,Michael Kiwanuka,141,2011,2010s
752,Hold Me Tight,The Beatles,134,1963,60s
754,Goodbye Kiss,Kasabian,160,2012,2010s
755,One,Ed Sheeran,175,2014,2010s
756,Wake Me Up,Ed Sheeran,256,2011,2010s
757,Aeroplane,Björk,64,1993,90s
758,In Your Eyes,Peter Gabriel,271,1986,80s
759,Figure 8,Ellie Goulding,117,2012,2010s
760,I'll Be,Edwin McCain,162,1997,90s
761,Medicine,Daughter,67,2011,2010s
762,Trying to Be Cool,Phoenix,142,2013,2010s
763,When I Look at You,Miley Cyrus,147,2010,2010s
764,All I've Got to Do,The Beatles,98,1963,60s
765,Kill Your Heroes,Awolnation,175,2012,2010s
766,Who Says,Selena Gomez & the Scene,303,2011,2010s
767,Love Somebody,Maroon 5,246,2013,2010s
768,Over My Dead Body,Drake,411,2011,2010s
769,My All,Mariah Carey,142,1997,90s
770,Me vs. Maradona vs. Elvis,Brand New,194,2013,2010s
771,Without You,Harry Nilsson,124,1971,70s
772,Because You Loved Me,Céline Dion,287,1996,90s
773,Marry Me,Train,132,2010,2010s
774,Kill V. Maim,Grimes,232,2015,2010s
775,Crazy for You,Madonna,168,1985,80s
776,I Melt with You,Modern English,210,1982,80s
777,Sure Thing,Miguel,300,2010,2010s
778,You And Your Heart,Jack Johnson,126,2010,2010s
779,A Spoonful Weighs a Ton,The Flaming Lips,41,1999,90s
780,Un-Thinkable (I'm Ready),Alicia Keys,224,2010,2010s
781,Beautiful,The Smashing Pumpkins,137,1995,90s
782,Smile,Avril Lavigne,215,2011,2010s
783,Can't Take My Eyes Off of You,Lauryn Hill,261,1998,90s
784,Give in to Me,Michael Jackson,214,1991,90s
785,Miss You Love,Silverchair,146,1999,90s
786,Talk Dirty (feat. 2 Chainz),Jason Derülo,302,2013,2010s
787,I'm Waiting for the Day,The Beach Boys,150,1966,60s
788,Every Little Thing,The Beatles,104,1964,60s
789,Saving All My Love for You,Whitney Houston,142,1985,80s
790,"Say You, Say Me",Lionel Richie,130,1985,80s
791,Vincent,Don McLean,187,1971,70s
792,Not Over You,Gavin DeGraw,202,2011,2010s
793,Greatest Love of All,Whitney Houston,171,1986,80s
794,Waltz #1,Elliott Smith,45,1998,90s
795,"Archie, Marry Me",Alvvays,97,2014,2010s
796,Gorilla,Bruno Mars,302,2013,2010s
797,Controlla,Drake,302,2016,2010s
798,Cool Girl,Tove Lo,253,2016,2010s
799,Fair,Remy Zero,128,1998,90s
800,Somebody to Love,Justin Bieber,300,2010,2010s
801,Me and My Broken Heart,Rixton,275,2014,2010s
802,In Your Light,Gotye,218,2011,2010s
803,Chateau Lobby #4 (in C for Two Virgins),Father John Misty,138,2015,2010s
804,There She Goes,Sixpence None the Richer,98,1999,90s
805,April 8th,Neutral Milk Hotel,68,1996,90s
806,Flapper Girl,The Lumineers,175,2012,2010s
807,The Sound,The 1975,316,2016,2010s
808,Stickshifts And Safetybelts,Cake,80,1996,90s
809,Real Love,Mary J. Blige,294,1992,90s
810,Wild Is the Wind,David Bowie,126,1976,70s
811,Sextape,Deftones,95,2010,2010s
812,#1 Crush,Garbage,155,1996,90s
813,Why Am I the One,fun.,282,2012,2010s
814,The Book of Love,The Magnetic Fields,89,1999,90s
815,No Name No. 5,Elliott Smith,59,1997,90s
816,Will You Be There,Michael Jackson,239,1991,90s
817,Save Me,Aimee Mann,123,1999,90s
818,The Air That I Breathe,The Hollies,135,1972,70s
819,Now,Paramore,210,2013,2010s
820,Jesus to a Child,George Michael,183,1996,90s
821,Spending My Time,Roxette,199,1991,90s
822,When We Dance,Sting,166,1994,90s
823,You Look So Fine,Garbage,155,1999,90s
824,Always on My Mind,Willie Nelson,105,1982,80s
825,May This Be Love,Jimi Hendrix,58,1967,60s
826,Kiss It Better,Rihanna,301,2016,2010s
827,Shots,Imagine Dragons,293,2015,2010s
828,If You Don't Know Me by Now,Simply Red,145,1989,80s
829,To Sheila,The Smashing Pumpkins,130,1998,90s
830,#41,Dave Matthews Band,111,1996,90s
831,Losing You,Solange,199,2012,2010s
832,Lovin' You,Minnie Riperton,184,1975,70s
833,Father Figure,George Michael,192,1987,80s
834,Legend,Drake,270,2015,2010s
835,I Don't Want Love,The Antlers,71,2011,2010s
836,Love Like Crazy,Lee Brice,174,2010,2010s
837,Somebody To Love - Remastered 2011,Queen,327,2018,2010s
838,Girl,Jamie xx,323,2014,2010s
839,Dance Me to the End of Love,Leonard Cohen,142,1984,80s
840,Dancing with Tears in My Eyes,Ke$ha,179,2010,2010s
841,Woman in Love,Barbra Streisand,135,1980,80s
842,One in a Million,Aaliyah,273,1996,90s
843,Save Me,Gotye,95,2012,2010s
844,Black Flies,Ben Howard,127,2011,2010s
845,Not a Bad Thing,Justin Timberlake,289,2013,2010s
846,Beneath Your Beautiful,Labrinth,240,2012,2010s
847,The Rip Tide,Beirut,59,2011,2010s
848,Swagger Jagger,Cher Lloyd,245,2011,2010s
849,Lily (My One And Only),The Smashing Pumpkins,118,1995,90s
850,Stephen,Ke$ha,239,2010,2010s
851,Say Something Loving,The xx,215,2017,2010s
852,Here Today,The Beach Boys,137,1966,60s
853,Here with Me,The Killers,170,2012,2010s
854,Shelter,Birdy,91,2011,2010s
855,(They Long to Be) Close to You,Carpenters,126,1970,70s
856,(Just Like) Starting Over,John Lennon,157,1980,80s
857,Enchanted,Taylor Swift,235,2010,2010s
858,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,326,2012,2010s
859,I Was Here,Beyoncé,178,2011,2010s
860,Desire,Years & Years,180,2014,2010s
861,Kiss Of Life,Sade,184,1992,90s
862,She's Like the Wind,Patrick Swayze,163,1987,80s
863,Va Va Voom,Nicki Minaj,363,2012,2010s
864,Night Changes,One Direction,185,2014,2010s
865,All Too Well,Taylor Swift,271,2012,2010s
866,I Miss You,Beyoncé,140,2011,2010s
867,Here's to Never Growing Up,Avril Lavigne,305,2013,2010s
868,Speak Now,Taylor Swift,244,2010,2010s
869,Highway Unicorn (Road to Love),Lady Gaga,210,2011,2010s
870,I Remember,Yeasayer,98,2010,2010s
871,Gypsy,Shakira,198,2010,2010s
872,Secret Garden,Bruce Springsteen,112,1995,90s
873,Reborn,Kids See Ghosts,415,2018,2010s
874,The Messenger,Linkin Park,73,2010,2010s
875,Realiti,Grimes,223,2015,2010s
876,I Got You,Jack Johnson,125,2013,2010s
877,This Is Love,will.i.am,260,2012,2010s
878,Cherish,Madonna,381,1989,80s
879,Loft Music,The Weeknd,296,2011,2010s
880,You & Me (feat. Eliza Doolittle),Disclosure,189,2013,2010s
881,Sweet Lady,Tyrese,365,1998,90s
882,"Gone, Gone, Gone",Phillip Phillips,290,2013,2010s
883,Brand New Day,Sting,381,1999,90s
884,Mandy,Barry Manilow,169,1974,70s
885,Nobody Does It Better,Carly Simon,101,1977,70s
886,10 Bands,Drake,324,2015,2010s
887,Join Me,Him,138,1999,90s
888,Bad Wings,The Glitch Mob,1,2010,2010s
889,Forget Her,Jeff Buckley,161,1994,90s
890,I Care,Beyoncé,183,2012,2010s
891,Supersymmetry,Arcade Fire,89,2013,2010s
892,Just a Kiss,Lady Antebellum,166,2011,2010s
893,Blue Beard,Band of Horses,96,2010,2010s
894,I Just Want to Make Love to You,Etta James,159,1960,60s
895,The First Taste,Fiona Apple,126,1996,90s
896,Generator ^ First Floor,Freelance Whales,37,2010,2010s
897,...Ready For It?,Taylor Swift,271,2017,2010s
898,Lady of the Flowers,Placebo,95,1996,90s
899,Buckets of Rain,Bob Dylan,115,1975,70s
900,I Never Told You,Colbie Caillat,175,2010,2010s
901,Your Bruise,Death Cab for Cutie,55,1998,90s
902,I Swear,All-4-One,186,1994,90s
903,Crush,Dave Matthews Band,181,1998,90s
904,The First Cut Is The Deepest,Cat Stevens,158,1967,60s
905,Drunk on Love,Rihanna,195,2011,2010s
906,Sweet Love,Anita Baker,203,1986,80s
907,I Follow You,Melody's Echo Chamber,118,2012,2010s
908,It's All Coming Back to Me Now,Céline Dion,320,1996,90s
909,I Walked,Sufjan Stevens,188,2010,2010s
910,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,95,2012,2010s
911,Lover,Taylor Swift,170,2019,2010s
912,Swish Swish,Katy Perry,302,2017,2010s
913,After the Moment,Craft Spells,123,2011,2010s
914,Motorcycle Drive By,Third Eye Blind,215,1997,90s
915,Hold Up,Beyoncé,395,2016,2010s
916,Winter,Daughter,126,2013,2010s
917,In My Blood,Shawn Mendes,174,2018,2010s
918,You're the Inspiration,Chicago,178,1984,80s
919,Ink,Coldplay,103,2014,2010s
920,In These Arms,Bon Jovi,239,1992,90s
921,The Biggest Lie,Elliott Smith,67,1995,90s
922,Sweet Jane,Cowboy Junkies,98,1988,80s
923,Let Her Cry,Hootie & The Blowfish,257,1994,90s
924,Company,Justin Bieber,142,2016,2010s
925,Prototype,OutKast,284,2018,2010s
926,You and Me,The Cranberries,110,1999,90s
927,Technicolour Beat,Oh Wonder,207,2015,2010s
928,Mind Games,John Lennon,121,1973,70s
929,Right Action,Franz Ferdinand,88,2013,2010s
930,Everything Has Changed,Taylor Swift,347,2012,2010s
931,After the Love Has Gone,"Earth, Wind & Fire",185,1979,70s
932,My Wandering Days Are Over,Belle and Sebastian,207,1996,90s
933,I Belong in Your Arms,Chairlift,125,2012,2010s
934,Sirens,Pearl Jam,179,2013,2010s
935,I'd Do Anything for Love (But I Won't Do That),Meat Loaf,520,1993,90s
936,Stuck on You,Lionel Richie,130,1984,80s
937,Only the Young,Brandon Flowers,147,2010,2010s
938,I Can't Make You Love Me,Bonnie Raitt,115,1991,90s
939,Somebody,Depeche Mode,121,1984,80s
940,I Don't Want to Get Over You,The Magnetic Fields,104,1999,90s
941,This Will Be Our Year,The Zombies,111,1968,60s
942,Birthday,The Sugarcubes,86,1987,80s
943,I Think I'm in Love,Spiritualized,204,1997,90s
944,To the Moon & Back,Savage Garden,208,1996,90s
945,Heart of Stone,The Rolling Stones,149,1964,60s
946,Impossible,Shontelle,219,2010,2010s
947,Daphne Descends,The Smashing Pumpkins,152,1998,90s
948,Love Ridden,Fiona Apple,106,1999,90s
949,All My Little Words,The Magnetic Fields,142,1999,90s
950,Loud Places (feat. Romy),Jamie xx,157,2015,2010s
951,From Time,Drake,452,2013,2010s
952,Love Is Blindness,U2,96,1991,90s
953,Cherokee,Cat Power,156,2012,2010s
954,Punchdrunk Lovesick Singalong,Radiohead,69,1994,90s
955,Ne me quitte pas,Jacques Brel,315,1972,70s
956,For You,Angus & Julia Stone,160,2010,2010s
957,Beautiful Freak,Eels,98,1996,90s
958,A Sunday Kind of Love,Etta James,128,1960,60s
959,Songbird,Eva Cassidy,71,1997,90s
960,Everybody Here Wants You,Jeff Buckley,179,1998,90s
961,Sweet Surrender,Sarah McLachlan,108,1998,90s
962,Who You Love,John Mayer,197,2013,2010s
963,A Year Without Rain,Selena Gomez & the Scene,232,2010,2010s
964,Glory of Love,Peter Cetera,144,1986,80s
965,Fire Meet Gasoline,Sia,295,2014,2010s
966,She'll Come Back To Me,Cake,80,1996,90s
967,Love Is Strong,The Rolling Stones,159,1994,90s
968,Let My Baby Stay,Mac DeMarco,97,2014,2010s
969,To Binge (Feat. Little Dragon),Gorillaz,144,2010,2010s
970,Dear Future Husband,Meghan Trainor,257,2014,2010s
971,Drawn to the Blood,Sufjan Stevens,54,2015,2010s
972,Absolute Beginners,David Bowie,106,1986,80s
973,Vision of Love,Mariah Carey,114,1990,90s
974,Begin Again,Taylor Swift,205,2012,2010s
975,I Know,Fiona Apple,112,1999,90s
976,Green Aisles,Real Estate,87,2011,2010s
977,Lozenge Of Love,Radiohead,34,1994,90s
978,Halcyon,Ellie Goulding,174,2012,2010s
979,Coming Up Roses,Elliott Smith,91,1995,90s
980,I Know You Care,Ellie Goulding,169,2012,2010s
981,I Won't Let You Go,James Morrison,170,2011,2010s
982,Jasmine (Demo),Jai Paul,165,2012,2010s
983,You're Gonna Make Me Lonesome When You Go,Bob Dylan,187,1975,70s
984,What Becomes Of The Brokenhearted,Jimmy Ruffin,136,1966,60s
985,Summer Romance (Anti-Gravity Love Song),Incubus,110,1997,90s
986,She,Elvis Costello,125,1999,90s
987,Lost On You,LP,177,2015,2010s
988,This Year's Love,David Gray,144,1999,90s
989,Say You Love Me,Jessie Ware,168,2014,2010s
991,Me and Mrs. Jones,Billy Paul,159,1972,70s
992,Hanging On,Active Child,78,2011,2010s
993,Let Love Rule,Lenny Kravitz,122,1989,80s
994,Save Me,Nicki Minaj,188,2010,2010s
995,Rhythm of Love,Plain White T's,179,2010,2010s
996,All by Myself,Eric Carmen,85,1975,70s
997,Five String Serenade,Mazzy Star,27,1993,90s
998,To Your Love,Fiona Apple,166,1999,90s
999,Shine,Years & Years,263,2015,2010s
1000,All I Have to Give,Backstreet Boys,274,1998,90s
1001,Pity Party,Melanie Martinez,274,2015,2010s
1002,Honestly?,American Football,36,1999,90s
1003,Are You Gonna Kiss Me or Not,Thompson Square,190,2010,2010s
1004,Is It Wicked Not to Care?,Belle and Sebastian,118,1998,90s
1005,Caught a Long Wind,Feist,87,2011,2010s
1006,Tee Shirt,Birdy,92,2014,2010s
1007,The Only Hope for Me Is You,My Chemical Romance,201,2010,2010s
1008,Come Together,Spiritualized,80,1998,90s
1009,Possession,Sarah McLachlan,163,1993,90s
1010,The Way I Feel Inside,The Zombies,91,1965,60s
1011,Bright,Echosmith,180,2015,2010s
1012,No Regrets,Robbie Williams,198,1998,90s
1013,Fall at Your Feet,Crowded House,121,1991,90s
1014,Where I Wanna Be,Donell Jones,249,1999,90s
1015,yeah right,Joji,208,2018,2010s
1016,Check Yes Or No,George Strait,163,1995,90s
1017,Dirty Dream Number Two,Belle and Sebastian,134,1998,90s
1018,Queen of California,John Mayer,97,2012,2010s
1019,No Woman,Whitney,70,2016,2010s
1020,The Power Of Love,Céline Dion,154,1993,90s
1021,Never Say Goodbye,Bon Jovi,174,1987,80s
1023,Oh My Love,John Lennon,84,1971,70s
1024,I Found A Reason,The Velvet Underground,163,1970,70s
1025,One Sweet Day,Mariah Carey,230,1995,90s
1026,#9 Dream,John Lennon,154,1974,70s
1027,Weak,SWV,340,1993,90s
1028,Get Gone,Fiona Apple,212,1999,90s
1029,Here Comes My Baby,Cat Stevens,140,1967,60s
1030,Fill Your Heart,David Bowie,116,1971,70s
1031,I Will Remember You,Sarah McLachlan,188,1995,90s
1032,I Will Always Love You,Dolly Parton,77,1973,70s
1033,Save The Best For Last,Vanessa Williams,134,1992,90s
1034,Love Is Stronger Than Pride,Sade,124,1988,80s
1035,Sad Songs And Waltzes,Cake,82,1996,90s
1036,I Won't Share You,The Smiths,121,1987,80s
1037,Turn Your Lights Down Low,Bob Marley & The Wailers,174,1977,70s
1038,The Look Of Love,Dusty Springfield,115,1967,60s
1039,Trouble,Metronomy,117,2011,2010s
1040,The Promise,When In Rome,188,1987,80s
1041,For Me This Is Heaven,Jimmy Eat World,96,1998,90s
1042,Girls/Girls/Boys,Panic! at the Disco,201,2013,2010s
1043,From This Moment On,Shania Twain,161,1998,90s
1044,Somethin' Stupid,Frank Sinatra,146,1967,60s
1045,I Know Places,Taylor Swift,224,2014,2010s
1046,You're a God,Vertical Horizon,149,1999,90s
1047,Jealous,Labrinth,196,2014,2010s
1048,On Bended Knee,Boyz II Men,310,1994,90s
1049,Gorgeous,Taylor Swift,288,2017,2010s
1050,Raining In Baltimore,Counting Crows,158,1993,90s
1051,Between Two Points (feat. Swan),The Glitch Mob,62,2010,2010s
1052,Arms,Christina Perri,212,2011,2010s
1053,Alice,Avril Lavigne,108,2010,2010s
1054,Nightmusic (feat. Majical Cloudz),Grimes,198,2012,2010s
1055,Suzy Lee,The White Stripes,87,1999,90s
1056,"For Emily, Whenever I May Find Her",Simon & Garfunkel,64,1966,60s
1057,Treat Her Better,Mac DeMarco,149,2014,2010s
1058,Own It,Drake,254,2013,2010s
1059,Be Still,The Killers,141,2012,2010s
1060,Just The Way You Are,Barry White,153,1978,70s
1061,Anytime,Brian McKnight,131,1997,90s
1062,We All Want Love,Rihanna,173,2012,2010s
1063,Candy,Robbie Williams,245,2012,2010s
1064,I'm in Here,Sia,142,2010,2010s
1065,Mama,Spice Girls,300,1997,90s
1066,How Do I Live,LeAnn Rimes,194,1997,90s
1067,Absolutely Cuckoo,The Magnetic Fields,147,1999,90s
1068,You & I,One Direction,162,2013,2010s
1069,Treacherous,Taylor Swift,169,2012,2010s
1070,Let It Down,George Harrison,105,1970,70s
1071,Always Remember Us This Way,Lady Gaga,157,2018,2010s
1072,Ours,Taylor Swift,181,2010,2010s
1073,Always Somewhere,Scorpions,96,1979,70s
1074,Superstar,Carpenters,118,1971,70s
1075,Kill for Love,Chromatics,100,2011,2010s
1076,This Woman's Work,Kate Bush,159,1988,80s
1077,One Moment in Time,Whitney Houston,98,1988,80s
1078,4th Dimension,Kids See Ghosts,261,2018,2010s
1079,Hours,FKA twigs,193,2014,2010s
