,Rank,Song Name,Artist,Album,Lyrics,Year,bins
165,277,We Might as Well Be Strangers,Keane,Hopes and Fears,"[Verse 1]
I don't know your face no more
Or feel the touch that I adore
I don't know your face no more
It's just a place I'm looking for

[Chorus 1]
We might as well be strangers in another town
We might as well be living in a different world
We might as well...
We might as well...
We might as well...

[Verse 2]
I don't know your thoughts these days
We're strangers in an empty space
I don't understand your heart
It's easier to be apart

[Chorus 2]
We might as well be strangers in another town
We might as well be living in another time
We might as well...
We might as well...
We might as well be strangers
Be strangers

[Outro]
For all I know of you now...
For all I know of you now...
For all I know of you now...
For all I know...",2004,2000s
166,278,Amber,311,From Chaos,"[Intro]

[Verse 1]
Brainstorm, take me away from the norm
I got to tell you somethin', this phenomenon
I had to put it in a song and it goes like

[Chorus]
Whoa, amber is the color of your energy
Whoa, shades of gold displayed naturally

[Verse 2]
You wanna know what brings me here, oh
You glide through my head, blind to fear
And I know why

[Chorus]
Whoa, amber is the color of your energy
Whoa, shades of gold displayed naturally

[Break]

[Chorus]
Whoa, amber is the color of your energy
Whoa, shades of gold displayed naturally

[Refrain]
You live too far away
Your voice rings like a bell anyway
Don't give up your independence
Unless it feels so right
Nothing good comes easily
Sometimes you've got to fight

[Chorus]
Whoa, amber is the color of your energy
Whoa, shades of gold displayed naturally

[Verse 3]
Launched a thousand ships in my heart, so easy
Still, it's fine from afar
And you know that

[Outro]
Whoa, brainstorm, take me away from the norm
Whoa, I got to tell you somethin'",2001,2000s
167,279,The Sharpest Lives,My Chemical Romance,The Black Parade,"[Verse 1]
Well, it rains and it pours when you're out on your own
If I crash on the couch, can I sleep in my clothes?
Cause I've spent the night dancing, I'm drunk, I suppose
If it looks like I'm laughing, I'm really just asking to leave this alone
You're in time for the show
You're the one that I need, I'm the one that you loathe
You can watch me corrode like a beast in repose
'Cause I love all the poison, away with the boys in the band

[Pre-Chorus]
I've really been on a bender and it shows
So, why don't you blow me a kiss, before she goes?

[Chorus]
Give me a shot to remember
And you can take all the pain away from me
Your kiss and I will surrender
The sharpest lives are the deadliest to lead
A light to burn all the empires
So bright, the sun is ashamed to rise and be
In love with all of these vampires
So you can leave like the sane abandoned me

[Verse 2]
There's a place in the dark where the animals go
You can take off your skin in the cannibal glow
Juliet loves the beat and the lust it commands
Drop the dagger and lather the blood on your hands, Romeo

[Pre-Chorus]
I've really been on a bender and it shows
So, why don't you blow me a kiss, before she goes?

[Chorus]
Give me a shot to remember
And you can take all the pain away from me
Your kiss and I will surrender
The sharpest lives are the deadliest to lead
A light to burn all the empires
So bright, the sun is ashamed to rise and be
In love with all of these vampires
So you can leave like the sane abandoned me

[Bridge]
Yeah! Hey! Hey! Hey! Hey!

[Guitar Solo]

[Chorus]
Give me a shot to remember
And you can take all the pain away from me
Your kiss and I will surrender
The sharpest lives are the deadliest to lead
A light to burn all the empires
So bright, the sun is ashamed to rise and be
In love with all of these vampires
So you can leave like the sane abandoned me",2006,2000s
168,280,High,James Blunt,Back to Bedlam,"[Verse 1]
Beautiful dawn
Lights up the shore for me
There is nothing else in the world
I'd rather wake up and see with you
Beautiful dawn
I'm just chasing time again
Thought I would die a lonely man
In endless night

[Chorus]
But now I'm high
Running wild among all the stars above
Sometimes it's hard to believe you remember me

[Verse 2]
Beautiful dawn (beautiful dawn)
Melt with the stars again
Do you remember the day when my journey began?
Will you remember the end of time?
Beautiful dawn  (beautiful dawn)
You're just blowing my mind again
Thought I was born to endless night, until you shine

[Chorus]
High
Running wild among all the stars above
Sometimes it's hard to believe you remember me

[Bridge]
Will you be my shoulder when I'm grey and older?
Promise me tomorrow starts with you

[Chorus]
Getting high
Running wild among all the stars above
Sometimes it's hard to believe you remember me
High
Running wild among all the stars above
Sometimes it's hard to believe you remember me",2004,2000s
169,281,Time to Dance,Panic! at the Disco,A Fever You Can't Sweat Out,"[Verse 1]
Well, she's not bleeding on the ballroom floor
Just for the attention
'Cause that's just ridiculously odd
Well, she sure is gonna get it
Here's the setting: Fashion magazines line the walls
Now, the walls line the bullet holes

[Chorus]
Have some composure, where is your posture? (Oh, no, no)
You're pulling the trigger, pulling the trigger (All wrong)
Have some composure, where is your posture? (Oh, no, no)
You're pulling the trigger, pulling the trigger (All wrong)

[Post-Chorus]
Give me envy, give me malice, give me your attention
Give me envy, give me malice, baby, give me a break!
When I say ""Shotgun,"" you say ""Wedding""
Shotgun wedding! Shotgun wedding!

[Verse 2]
She didn't choose this role
But she'll play it and make it sincere so
You cry, you cry (Give me a break)
But they believe it from the tears and the teeth
Right down to the blood at her feet
Boys will be boys, hiding in estrogen
And wearing Aubergine Dreams (Give me a break)

[Chorus]
Have some composure, where is your posture? (Oh, no, no)
You're pulling the trigger, pulling the trigger (All wrong)
Have some composure, where is your posture? (Oh, no, no)
You're pulling the trigger, pulling the trigger (All wrong)

[Bridge]
Come on, this is screaming ""photo op""
Come on, come on
This is screaming, this is screaming
This is screaming ""photo op""
Boys will be boys, baby
Boys will be boys
Boys will be boys, baby
Boys will be boys

[Outro]
Give me envy, give me malice, give me your attention
Give me envy, give me malice, baby, give me a break!
When I say ""Shotgun,"" you say ""Wedding""
Shotgun wedding! Shotgun wedding!
Boys will be boys, hiding in estrogen
And boys will be boys
Boys will be boys, hiding in estrogen
And wearing Aubergine Dreams",2005,2000s
170,286,"Jesus, Etc.",Wilco,Yankee Hotel Foxtrot,"[Verse 1]
Jesus, don't cry
You can rely on me honey
You can combine anything you want
I'll be around
You were right about the stars
Each one is a setting sun

[Chorus]
Tall buildings shake
Voices escape singing sad sad songs
Tuned to chords strung down your cheeks
Bitter melodies turning your orbit around

[Verse 2]
Don't cry
You can rely on me honey
You can come by any time you want
I'll be around
You were right about the stars
Each one is a setting sun

[Chorus]
Tall buildings shake
Voices escape singing sad sad songs
Tuned to chords strung down your cheeks
Bitter melodies turning your orbit around

[Bridge]
Voices whine
Skyscrapers are scraping together
Your voice is smoking
Last cigarettes are all you can get
Turning your orbit around

[Verse 3]
Our love
Our love
Our love is all we have
Our love
Our love is all of God's money
Everyone is a burning sun

[Chorus]
Tall buildings shake
Voices escape singing sad sad songs
Tuned to chords strung down your cheeks
Bitter melodies turning your orbit around

[Bridge]
Voices whine
Skyscrapers are scraping together
Your voice is smoking
Last cigarettes are all you can get
Turning your orbit around

[Outro]
Last cigarettes are all you can get
Turning your orbit around
Last cigarettes are all you can get
Turning your orbit around",2002,2000s
171,287,Tiny Vessels,Death Cab for Cutie,Transatlanticism,"[Verse 1]
This is the moment that you know
That you told her that you loved her
But you don't
You touch her skin and then you think
That she is beautiful
But she don't mean a thing to me
Yeah, she is beautiful
But she don't mean a thing to me

[Verse 2]
I spent two weeks in Silver Lake
The California sun
Cascading down my face
There was a girl with light brown streaks
And she was beautiful
But she didn't mean a thing to me
Yeah, she was beautiful
But she didn't mean a thing to me

[Bridge]
I wanted to believe in all the words that I was speaking
As we moved together in the dark
And all the friends that I was telling
All the playful misspellings
Every bite I gave you left a mark
And tiny vessels oozed into your neck
And formed the bruises
That you said you didn't want to fade
But they did, and so did I that day

[Verse 3]
All I see are dark grey clouds
In the distance, moving closer with every hour
So when you ask, ""Is something wrong?""
I think, ""You're damn right there is
But we can't talk about it now""
No, we can't talk about it now

[Verse 4]
So one last touch, and then you'll go
And we'll pretend that it meant something so much more
But it was vile, and it was cheap
And you are beautiful
But you don't mean a thing to me
Yeah, you are beautiful
But you don't mean a thing to me
Yeah, you are beautiful
But you don't mean a thing to me",2003,2000s
172,289,Feel,Robbie Williams,Escapology,"[Verse 1]
Come and hold my hand
I wanna contact the living
Not sure I understand
This role I've been given
I sit and talk to God
And he just laughs at my plans
My head speaks a language
I don't understand

[Chorus]
I just wanna feel real love
Feel the home that I live in
Cause I got too much life
Running through my veins
Going to waste

[Verse 2]
I don't wanna die
But I ain't keen on living either
Before I fall in love
I'm preparing to leave her
Scare myself to death
That's why I keep on running
Before I've arrived
I can see myself coming

[Chorus]
I just wanna feel real love
Feel the home that I live in
Cause I got too much life
Running through my veins
Going to waste
And I need to feel real love
And a life ever after
I can not get enough

I just wanna feel real love
Feel the home that I live in
I got too much love
Running through my veins
To go to waste

I just wanna feel real love
And a life ever after
There's a hole in my soul
You can see it in my face
It's a real big place

[Outro]
Come and hold my hand
I wanna contact the living
Not sure I understand
This role I've been given
Not sure I understand
Not sure I understand
Not sure I understand
Not sure I understand",2002,2000s
173,291,Please Don't Leave Me,P!nk,Funhouse,"[Intro]
Da da da da
Da da da da
Da da da da da

[Verse 1]
I don't know if I can yell any louder
How many times have I kicked you out of here?
Or said something insulting?
Da da da da da
I can be so mean when I wanna be
I am capable of really anything
I can cut you into pieces
When my heart is broken
Da da da da da

[Chorus]
Please, don't leave me
Please, don't leave me
I always say how I don't need you
But it's always gonna come right back to this
Please, don't leave me

[Verse 2]
How did I become so obnoxious?
What is it with you that makes me act like this?
I've never been this nasty
Can't you tell that this is all just a contest?
The one that wins will be the one that hits the hardest
But baby, I don't mean it
I mean it, I promise
Da da da da da

[Chorus]
Please, don't leave me (oh)
Please, don't leave me (don't leave me)
I always say how I don't need you
But it's always gonna come right back to this
Please, don't leave me

[Bridge]
I forgot to say out loud
How beautiful you really are to me
I can't be without
You're my perfect little punching bag
And I need you
I'm sorry
Da da da da
Da da da da
Da da da da da

[Chorus]
Please, please, don't leave me
Baby, please, don't leave me (no, don't leave me)
Please, don't leave me (I always say)
I always say how I don't need you
But it's always gonna come right back to this
Please, don't leave me
Please, don't leave me (I, I)
I always say how I don't need you
But it's always gonna come right back to this
Please, please, don't leave me

[Outro]
Baby, please, please, don't leave me",2008,2000s
174,294,Never Say Never,The Fray,The Fray,"[Verse 1]
Some things we don't talk about
Rather do without and just hold the smile
Falling in and out of love
Ashamed and proud of, together all the while

[Pre-Chorus]
You can never say never
While we don't know when
But time and time again
Younger now than we were before

[Chorus]
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go

[Verse 2]
Picture, you're the queen of everything
Far as the eye can see under your command
I will be your guardian when all is crumbling
I'll steady your hand

[Pre-Chorus]
You can never say never
While we don't know when
But time, time, and time again
Younger now than we were before

[Chorus]
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go

[Bridge]
We're pulling apart and coming together again and again
We're growing apart, but we pull it together
Pull it together, together again

[Chorus]
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go
Don't let me go",2009,2000s
175,295,Home,Michael Bublé,It's Time,"[Verse 1]
Another summer day
Has come and gone away
In Paris and Rome
But I wanna go home, mmm
May be surrounded by
A million people I
Still feel all alone
I just wanna go home
Oh, I miss you, you know
And I've been keeping all the letters
That I wrote to you
Each one a line or two
I'm fine baby, how are you?
Well I would send them but I know
That it's just not enough
My words were cold and flat
And you deserve more than that
Another aeroplane
Another sunny place
I'm lucky I know
But I wanna go home
Mmm, I got to go home

[Chorus]
Let me go home
I'm just too far
From where you are
I wanna come home

[Verse 2]
And I feel just like
I'm living someone else's life
It's like I just stepped outside
When everything was going right
And I know just why you could not
Come along with me
That this was not your dream
But you always believed in me
Another winter day
Has come and gone away
In even Paris and Rome
And I wanna go home
Let me go home
And I'm surrounded by
A million people I
I still feel alone
Oh, let me go home
Oh, I miss you, you know

[Chorus]
Let me go home
I've had my run
Baby, I'm done
I gotta go home
Let me go home
It'll all be all right
I'll be home tonight
I'm coming back home",2005,2000s
176,1,Million Faces,Paolo Nutini,These Streets,"[Verse 1]
Oh the phone you know it never stops
It's the last thing I hear at night
And the first thing in the morning
And as I let it start to burn my head
You slowly creep into bed
I'm done with all the talking

You say you know how I'm feeling
I just need to try to settle down

[Chorus]
Oh a million faces pass my way
Oh they're all the same
Nothing seems to change
Anytime I look around
Oh who knows just what the future holds
All I want to know is if it's with you

[Verse 2]
Tired as hell and falling up the stairs
Filled with a thousand cares
As you walk out from the bedroom
Though it feels like all my fire has gone
Girl, you just turn me on
Can't believe how much I want you

You say you know how I'm feeling
I just need to try to settle down

[Chorus]
Oh a million faces pass my way
Oh they're all the same
Nothing seems to change
Anytime I look around
Oh who knows just what the future holds
All I want to know is if it's with you

[Bridge]
We're distracted by the hard times
And the troubles that we make
Let us throw them in the ocean
Let it wash our cares away

Oh the phone you know it never stops
It's the last thing I hear at night
And the first thing in the morning

[Chorus]
Oh a million faces pass my way
Oh they're all the same
Nothing seems to change
Anytime I look around
Oh who knows just what the future holds
All I want to know is if it's with you

[Outro]
We're distracted by the hard times
And the troubles that we make
Let us throw them in the ocean
Let it wash our cares away
Let it wash our cares...",2006,2000s
177,2,Lost Without U,Robin Thicke,The Evolution of Robin Thicke,"[Chorus]
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?

[Verse 1]
Tell me how you love me more
And how you think I'm sexy, baby
That you don't want nobody else
You don't want this guy, you don't want that guy
You wanna touch yourself when you see me
Tell me how you love my body
And how I make you feel, baby
You wanna roll with me, you wanna hold with me
You wanna stay warm and get out of the cold with me
I just love to hear you say it
It makes a man feel good, baby
Tell me you depend on it, I need to hear it

[Chorus]
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?

[Verse 2]
Baby, you're the perfect shape
Baby, you're the perfect weight
Treat me like my birthday
I want it this way, I want it that way, I want it
Tell me you don't want me to stop (Don't stop)
Tell me it would break your heart
But you love me and all my dirty
You wanna roll with me, you wanna hold with me
You wanna make fires and get Norwegian wood with me
I just love to hear you say it
It makes a man feel good, baby

[Chorus]
I'm lost without you, can't help myself
How does it feel to know that I love you baby?
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?

[Bridge]
Cause you will tell me every morning
Ooh, alright, baby
Oh, yeah, oh, baby
Oh, darling, alright

[Chorus]
I'm lost without you! Can't help myself
How does it feel to know that I love you, baby?
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?

[Outro]
Ooh yeah, oh baby
Oh darlin', all right-right
Oh baby, oh darlin'
Ooh, ooh, baby, all right-right
Yeah",2007,2000s
178,3,Now at Last,Feist,Let It Die,"[Verse 1: Leslie Feist]
Now at last, I know what a fool I've been
For have lost the last love I should ever win
And at last I see how my heart was blind
To the joys before me that I've left behind

[Bridge]
When the wind was fresh on the hills
And the stars were new in the sky
And the lark was heard in the still
Where was I? Where was I?

[Chorus]
When the spring is cold
Where do robins go?
What makes winters lonely?
Now at last I know

[Bridge]

[Chorus]",2004,2000s
179,5,Trophy,Bat for Lashes,Fur and Gold,"The trophy that I made for us
In fur and gold
Got into the wrong pair of hands
And truth was sold
They bought it for, oh, so much less
Than it was worth
And every man that touched it
Found a heaven on earth

Heaven is a feeling I get in your arms
Heaven is a feeling I get in your arms
Heaven is a feeling I get in your arms
Heaven is a feeling I get in your arms

The queens and the court jesters
Clapped, adored
Their hearts swelled to overdrive
And mercy soared
Mercy this and mercy that
Let justice prevail
But I just want my trophy back
It's not for sale

Heaven is a feeling I get in your arms
Heaven is a feeling I get in your arms
Heaven is a feeling I get in your arms
Heaven is a feeling I get in your arms

Creatures of mercy
Shoot, shoot
Shoot them down
And set me free

Creatures of mercy
Shoot, shoot
Shoot them down
And set me free

When I got my trophy back
It took some time
To polish it to gold from black
And shoot the lion
And when I put it back inside
And locked the door
A trophy of mercy
Is a trophy no more

Heaven is a feeling I get in your arms
Heaven is a feeling I get in your arms
Heaven is a feeling I get in your arms
Heaven is a feeling I get in your arms

Creatures of mercy
Shoot, shoot
Shoot them down
And set me free

Creatures of mercy
Shoot, shoot
Shoot them down
And set me free",2006,2000s
180,6,No Air,Jordin Sparks,Jordin Sparks,"[Intro: Jordin Sparks]
Tell me how I'm supposed to breathe with no air (Air, air)
Ooh, oh, no

[Verse 1: Jordin Sparks, Chris Brown]
If I should die before I wake
It's 'cause you took my breath away
Losing you is like living in a world with no air, oh
I'm here alone, didn't wanna leave
My heart won't move, it's incomplete
Wish there was a way that I can make you understand

[Pre-Chorus: Jordin Sparks]
But how do you expect me
To live alone with just me?
'Cause my world revolves around you
It's so hard for me to breathe

[Chorus: Jordin Sparks & Chris Brown]
Tell me how I'm supposed to breathe with no air
Can't live, can't breathe with no air
That's how I feel whenever you ain't there
It's no air, no air
Got me out here in the water so deep
Tell me how you're gon' be without me
If you ain't here, I just can't breathe
It's no air, no air

[Hook: Jordin Sparks, Chris Brown]
No air, air (Oh)
No air, air (No, ooh)
No air, air (Oh, ah)
No air, air

[Verse 2: Chris Brown, Jordin Sparks]
I walked, I ran, I jumped, I flew
Right off the ground to float to you
There's no gravity to hold me down for real
But somehow I'm still alive inside
You took my breath, but I survived
I don't know how, but I don't even care

[Pre-Chorus: Jordin Sparks, Chris Brown, Both]
So how (How) do you expect me (Me)
To live alone with just me? (Oh, oh)
'Cause my world revolves around you
It's so hard for me to breathe

[Chorus: Jordin Sparks, Chris Brown, Both]
Tell me how I'm supposed to breathe with no air (Oh) (Oh)
Can't live, can't breathe with no air (Oh) (Oh)
That's how I feel whenever you ain't there
It's no air, no air
Got me out here in the water, so deep (So deep)
Tell me how you're gon' be without me (Without me, yeah)
If you ain't here, I just can't breathe (Breathe, no)
It's no air, no air (No air)

[Hook: Jordin Sparks, Both]
No air, air (Oh)
No air, air (Oh, no)
No air, air (No, whoa)
No air, air (No more)

[Bridge: Jordin Sparks, Chris Brown, Both]
(No air)
Ooh, baby, oh
It's no air, no air
Hey! Ooh, no air, oh
(No air)
Oh oh!

[Chorus: Jordin Sparks, Chris Brown, Both]
Tell me how I'm supposed to breathe with no air (No air)
Can't live, can't breathe with no air (Oh whoa) (No air)
That's how I feel whenever you ain't there (No breathing) (No breathing at all)
It's no air, no air
Got me out here in the water, so deep (So deep) (So deep)
Tell me how you're gon' be without me (Without me, yeah) (Can't live without you, baby)
If you ain't here, I just can't breathe (Breathe)
It's no air, no air (No air)

[Hook / Pre-Chorus: Jordin Sparks, Chris Brown]
No air, air
(How do you expect me?)
No air, air (Baby, bae)
(To live alone with just me)
No air, air (Oh!)
('Cause my world revolves around you) (Oh whoa whoa)
No air, air
(It's so hard for me to breathe) (Hard for me to breathe) (Oh!)

[Chorus: Jordin Sparks, Chris Brown, Both]
Tell me how I'm supposed to breathe with no air (No air)
Can't live, can't breathe with no air (Hard for me to breathe) (No, no, no)
That's how I feel whenever you ain't there (Oh!) (Not there)
It's no air, no air
Got me out here in the water, so deep
Tell me how you're gon' be without me
If you ain't here, I just can't breathe
It's no air, no air

[Hook: Jordin Sparks, Chris Brown, Both]
No air, air (Oh)
No air, air (Oh oh) (Whoa)
No air, air (No air)
No air",2008,2000s
181,7,It's Not Up to You,Björk,Vespertine Live,"[Verse 1]
I wake up
And the day feels broken
I tilt my head
I'm trying to get an angle
'Cause the evening
I've always longed for
It could still happen

[Pre-Chorus]
How do I master
The perfect day
Six glasses of water
Seven phone calls
If you leave it alone
It might just happen
Anyway

[Chorus]
It's not up to you
Oh it never really was
It's not up to you
Oh it never really was
It's not up to you
Well it never really was
It's not up to you

[Verse 2]
If you wake up
And the day feels a-broken
Just lean into the crack
(Just lean into the crack)
And it will tremble
Ever so nicely
Notice how it sparkles
Down there

[Pre-Chorus]
I can decide
What I give
But it's not up to me
What I get given
Unthinkable surprises
About to happen
But what they are

[Chorus]
It's not up to you
It's not up to you
Well it never really was
It's not up to you
Oh it never really was
It's not up to you
Oh it never really was
It's not up to you
Oh, me, share
It's not up to you
It's not up to you
It's not up to you
Oh, it never really was
It's not up to you
Well it never really was
It's not up to you
It's not up to you
It's not up to you
It's not up to you

[Outro]
There's too much
Clinging
To peak
There's too much
Pressure",2001,2000s
182,12,Together We Will Live Forever,Clint Mansell,The Fountain,[Instrumental],2006,2000s
183,13,Beating Heart Baby,Head Automatica,Decadence,"[Intro]
Beating hearts baby
Baby, is this love for real?
Beating hearts baby
Let me in your arms to feel
Beating hearts baby
The beating of your heart, baby
Beating hearts baby
The beating of your heart, baby

[Verse 1]
You, you want nothing to do with me
You, you want nothing to do with me
I, I don't know what to do with you
Cause you don't know what you do to me

[Chorus]
Baby, is this love for real?
Let me in your arms to feel
The beating of your heart, baby
The beating of your heart, baby
Beating hearts baby
Baby, is this love for real?
Beating hearts baby
Let me in your arms to feel
Beating hearts baby
Your beating heart, baby
Beating hearts baby
The beating of your heart, baby

[Verse 2]
Girl, you really got your hold on me
You, you really got your hold on me
You, you gotta get away from me
Cause you, you want nothing to do with me

[Chorus]
Baby, is this love for real?
Let me in your arms to feel
The beating of your heart, baby
The beating of your heart, baby
Beating hearts baby
Baby, is this love for real?
Beating hearts baby
Let me in your arms to feel
Beating hearts baby
Your beating heart, baby
Beating hearts baby
The beating of your heart, baby

[Bridge]
In spite of you of you
Even out of view
Still I love all of you
I do, yeah
In spite of you
Even out of view
Still I love all of you
I do, yeah
You want nothing to do with me
You, you want nothing to do with me

[Chorus]
Baby, is this love for real
Let me in your arms to feel
Your beating heart, baby
The beating of your heart, baby
Beating hearts baby
Baby, is this love for real?
Beating hearts baby
Let me in your arms to feel
Beating hearts baby
The beating of your heart, baby
Beating hearts baby
The beating of your heart, baby
Beating hearts baby
Baby, is this love for real?
Beating hearts baby
Let me in your arms to feel
Beating hearts baby
Your beating heart, baby
Beating hearts baby
The beating of your heart, baby",2004,2000s
184,14,Cautioners,Jimmy Eat World,Bleed American,"[Verse 1]
The time I would spend with pictures I would not send
I watched you go from left to right
I followed you all night across my blinds

[Chorus]
You'll change your mind come Monday and turn your back on me
You'll take your steps away with hesitance
You'll take your steps away from me

[Verse 2]
I'm making my peace, I'm making it with distance
Maybe that's a big mistake
You know I'm thinking of you
I miss you

[Chorus]
You'll change your mind come Monday and turn your back on me
You'll take your steps away with hesitance
You'll take your steps away from me

[Non-lyrical Bridge]

[Chorus]
You'll change your mind come Monday and turn your back on me
You'll take your steps away with hesitance
You'll take your steps away from me",2001,2000s
185,15,Bruised,Jack's Mannequin,Everything in Transit,"[Verse 1]
I've got my things, I'm good to go
You met me at the terminal
Just one more plane ride and it's done

We stood like statues at the gate
Vacation's come and gone too late
There's so much sun where I'm from
I had to give it away
Had to give you away

And we spent four days on an
Island at your family's old hotel
Sometimes perfection can be
It can be perfect hell
Perfect...

[Chorus]
Hours pass, and she still counts the minutes
That I am not there
I swear I didn't mean for it to feel like this
Like every inch of me is bruised
Bruised

And don't fly fast
Oh, pilot can you help me?
Can you make this last?
This plane is all I got
So keep it steady now
Cause every inch you see is bruised

[Verse 2]
I lace my Chucks, I walk the aisle
I take my pills, the babies cry
All I hear
Is what's playing through the in-flight radio

Now every word of every song
I ever heard that made me wanna stay
Is what's playing through the in-flight radio
And I
I am finally waking up

[Chorus]
Hours pass, and she still counts the minutes
That I am not there
I swear I didn't mean for it to feel like this
Like every inch of me is bruised
Bruised

And don't fly fast
Oh, pilot can you help me?
Can you make this last?
This plane is all I got
So keep it steady now
Cause every inch you see is bruised, yeah

[Bridge]
So read your books, but stay out late
Some nights, some nights
And don't think that you can't stop by the bar
You haven't shown your face here since the bad news
Well I'm here till close, with fingers crossed
Each night cause your place isn't far

And hours pass
Hours pass
Yeah, yeah

[Chorus]
Yeah, yeah, she still counts the minutes
That I am not there
I swear I didn't mean for it to feel like this
Like every inch of me is bruised
Bruised

And don't fly fast
Oh, pilot can you help me?
Can you make this last?
This plane is all I got
So keep it steady now
Cause every inch you see is bruised
Bruised
Bruised",2005,2000s
186,16,Night Terror,Laura Marling,Alas I Cannot Swim,"I woke up and he was screaming
I'd left him dreaming
I'll roll over and shake him tightly
And whisper, ""If they want you, oh, they're gonna have to fight me
Oh, fight me""

I woke up on a bench on Shepherd's Bush Green
Oh, a candle at my chest, and a head on his knee
I got up; it was dark; there's no one in the park at this hour
How do I keep finding myself here?
""Oh, fight me""

If I look back and he is screaming
I'd left him dreaming; a dangerous feat
And I'll run back and shake him tightly
And scream, ""If they want him, oh, they're gonna have to fight me
Oh, fight me""

But if I wake up on a bench on Shepherd's Bush Green
Oh, a candle at my chest, and a head on his knee
I'll roll over and hold him tightly
And scream, ""If you want him, oh, you're gonna have to fight me
Oh, fight me""

""Oh, fight me""",2007,2000s
187,21,The Closest Thing to Crazy,Katie Melua,Call Off the Search,"How can I think I'm standing strong
Yet feel the air beneath my feet?
How can happiness feel so wrong?
How can misery feel so sweet?
How can you let me watch you sleep
Then break my dreams the way you do?
How can I have got in so deep?
Why did I fall in love with you?

[Hook]
This is the closest thing to crazy I have ever been
Feeling twenty-two, acting seventeen
This is the nearest thing to crazy I have ever known
I was never crazy on my own
And now I know that there's a link between the two
Being close to craziness and being close to you

How can you make me fall apart
Then break my fall with loving lies?
It's so easy to break a heart
It's so easy to close your eyes
How can you treat me like a child
Yet like a child I yearn for you?
How can anyone feel so wild?
How can anyone feel so blue?

[Hook]",2003,2000s
188,23,Photobooth,Death Cab for Cutie,The Forbidden Love E.P.,"I remember when the days were long
And the nights when the living room was on the lawn
Constant quarreling, the childish fits
And our clothes in a pile on the ottoman
All the slander and double-speak
Were only foolish attempts to show you did not mean
Anything but the blatant proof
Was your lips touching mine in the photobooth

And as the summer's ending
The cool air will push your hard heart away
You were so condescending
And this is all that's left
Scraping paper to document
I've packed a change of clothes and it's time to move on

Cup your mouth to compress the sound
Skinny dipping with the kids from a nearby town
And everything that I said was true
As the flashes blinded us in the photobooth
Well, I lost track, and then those words were said
You took the wheel and you steered us into my bed
And soon we woke and I walked you home
And it was pretty clear that it was hardly love

And as the summer's ending
The cool air will rush your hard heart away
You were so condescending
And this is all that's left
Scraping paper to document
I've packed a change of clothes and it's time to move on

And as the summer's ending
The cool air will rush your hard heart away
You were so condescending
As the alcohol drained the days

And as the summer’s ending
The cool air will rush you hard heart away
You were so condescending
And this is all that’s left
The empty bottles, spent cigarettes
So pack a change of clothes cause it’s time to move on",2000,2000s
189,24,Elephant,Damien Rice,9,"[Verse 1]
This has got to die
This has got to stop
This has got to lie down
Someone else on top

You can keep me pinned
It's easier to tease
But you can't paint an elephant
Quite as good as she

[Chorus 1]
And she may cry like a baby
And she may drive me crazy
Cause I am lately lonely

[Verse 2]
So why d'you have to lie?
I take it I'm your crutch
The pillow in your pillow case
Is easier to touch

And when you think you've sinned
Do you fall upon your knees?
And do you sit within your picture?
Do you still forget the breeze?

[Chorus 2]
And she may rise, if I sing you down
And she may wisely cling to the ground
Cause I'm lately horny
So why would she take me horny?

[Bridge]
What's the point of this song? Or even singing?
You've already gone, why am I clinging?
Well I could throw it out, and I could live without
And I could do it all for you
I could be strong
Tell me if you want me to lie
Cause this has got to die

[Outro]
This has got to stop
This has got to lie down, down
With someone else on top

You can both keep me pinned
Cause it's easier to tease
But you can't make me happy
Quite as good as me

Well you know that's a lie",2006,2000s
190,27,Unsolved Mysteries,Animal Collective,Strawberry Jam,"""Oh look at me"", that sweet boy's plea
His mother cried, ""My child's tied his laces""
Why must we move on from such happy lawns
Into nostalgia's palm and feed on the traces

Do you hop to the dance or embarrass the parents?
Who should I please? I go to sleep worrying
That blood in the dark will attract the sharks
Who are not violent we all got hungry bellies

But where are the still unborn who could look at me with the one eye
Who could look at me with no eyes
Who could look at me with me in their eyes

What's pain? What's sadness anyway? It's not crying like a child

What's graying? What's aging anyway? It's not growing in the wild

I feel like I've just been born
When you look at me with your green eyes
When you look at me with your black eyes
When you look at me with your dead eyes

And I can't understand when holding her hand
So womanly, I have to go and kiss her

And what a surprise to look in those eyes
To find suddenly he is Jack, the Ripper
Too suddenly he was Jack, the Ripper

He stopped crying like a child
She stopped crying like a child
Jack, the Ripper [x3]",2007,2000s
